Date,Open,High,Low,Close,Volume
30-Dec-16,90.03,90.70,90.01,90.26,9117830
29-Dec-16,90.10,90.60,90.03,90.35,6684661
28-Dec-16,90.68,91.11,90.26,90.30,6745940
27-Dec-16,90.83,91.11,90.58,90.75,4960556
23-Dec-16,90.89,90.96,90.52,90.71,4266541
22-Dec-16,90.02,90.90,90.02,90.87,8003106
21-Dec-16,90.68,90.90,90.18,90.28,7308044
20-Dec-16,90.51,90.85,90.29,90.43,7221041
19-Dec-16,91.38,91.54,90.20,90.42,9674437
16-Dec-16,91.52,91.67,90.64,91.18,20560435
15-Dec-16,90.10,90.98,89.76,90.89,11155111
14-Dec-16,92.26,92.27,90.17,90.58,16325355
13-Dec-16,91.89,93.22,91.17,92.58,18829345
12-Dec-16,90.14,91.50,90.14,90.98,15545409
9-Dec-16,88.64,89.00,88.18,89.00,8021683
8-Dec-16,88.05,88.85,87.65,88.32,9086715
7-Dec-16,87.63,88.15,87.20,88.07,11182628
6-Dec-16,87.27,87.87,86.70,87.56,11293620
5-Dec-16,87.39,87.82,86.92,87.48,11741074
2-Dec-16,87.19,87.99,86.60,87.04,9706646
1-Dec-16,87.98,88.50,87.24,87.24,13005560
30-Nov-16,87.60,88.19,87.20,87.30,22696209
29-Nov-16,85.42,86.08,85.08,85.90,9181096
28-Nov-16,86.95,87.13,86.37,86.47,7449634
25-Nov-16,86.71,87.14,86.54,87.12,5043042
23-Nov-16,86.54,87.08,86.31,86.92,6061281
22-Nov-16,86.69,87.24,85.97,86.68,9390248
21-Nov-16,86.44,86.69,86.14,86.49,8861469
18-Nov-16,85.21,85.65,84.83,85.28,8457804
17-Nov-16,86.44,86.88,85.02,85.23,8200464
16-Nov-16,86.74,86.78,85.58,85.75,8201169
15-Nov-16,85.77,87.06,85.77,86.82,12883542
14-Nov-16,85.30,85.65,84.32,85.28,12607502
11-Nov-16,86.53,86.73,84.89,85.67,13812176
10-Nov-16,85.91,87.99,85.66,87.05,14106227
9-Nov-16,84.05,86.71,83.66,86.25,15901269
8-Nov-16,84.73,85.83,84.49,85.31,9735164
7-Nov-16,84.49,85.47,84.40,85.45,13576246
4-Nov-16,83.63,84.33,82.76,83.57,13877124
3-Nov-16,83.68,83.88,83.05,83.66,8836546
2-Nov-16,83.30,83.88,82.94,83.45,11226097
1-Nov-16,83.50,83.92,83.27,83.65,13050607
31-Oct-16,83.88,84.40,82.99,83.32,16663771
28-Oct-16,85.28,86.36,84.14,84.78,19072186
27-Oct-16,87.28,87.66,86.80,86.92,9071099
26-Oct-16,86.25,87.45,85.95,87.09,8488064
25-Oct-16,86.67,87.65,86.60,86.72,6835886
24-Oct-16,86.74,87.32,86.07,86.91,8354850
21-Oct-16,86.42,86.82,85.70,86.62,10736170
20-Oct-16,86.79,87.50,86.60,87.21,6866873
19-Oct-16,87.19,87.85,86.88,87.17,9373416
